Project Name,Department,Annual Report Category,Project Description,IPA Delivery Confidence Assessment,SRO Delivery Confidence Assessment,Departmental Commentary on Delivery Confidence Assessment Rating,Start Date,End Date,Schedule Narrative,"Financial Year Baseline (£m, Presented in 2024/25 Real Prices)","Financial Year Forecast (£m, Presented in 2024/25 Real Prices)",Financial Year Variance (%),In Year Variance Narrative,"Whole Life Cost (£m, Presented in 2024/25 Real Prices)",Costs Narrative,"Benefits (£m, Presented in 2024/25 Real Prices)",Benefits Narrative,Evaluation Plan and Registry Link,Senior Responsible Owner (SRO) Name,Major Projects ID
Children's Homes Capital Programme,DFE,Infrastructure and Construction,The department is investing grant funding to support local authorities and other providers to improve and expand the regional provision of secure children's homes and open children's homes as part of its  commitment to deliver stable loving homes for vulnerable children in care.,,AMBER,"Programme delivery confidence for 2025/26 is Amber. The programme has continued to make progress, but delivery confidence is impacted by the risk faced on a small number of complex, large‑scale capital projects in a sector where comparable facilities have not been delivered for many years. This risk is ongoing rather than new and reflects the technical and commercial challenge of delivering these schemes, with potential pressure on cost and timetable, rather than a lack of momentum. Targeted progress has been made on the highest‑risk projects. This includes securing planning approval and buy-in across relevant local authorities for the new West Midlands safe centre, the London Secure Children’s Home scheme proceeding towards planning submission and  construction tender, as well as £53 million of grants being awarded for new Open Children’s Homes to support vulnerable children with complex needs. Construction of the Lincolnshire Secure Children’s Home remains on target for completion in autumn 2026 and occupation from May 2027. Looking ahead, delivery confidence will depend on these major projects moving through procurement and into construction without material delay or cost escalation. The priority is close oversight of the most complex schemes, refreshed forecasts with local partners, and active grant management to intervene early where risks emerge. Sustained grip on these projects will be critical to reducing risk and supporting a move towards Green in future reporting.",16/03/2023,"Low: 31/03/2030, Mid: 31/03/2031, High: 31/03/2031",No schedule narrative has been provided as this programme will not remain in GMPP. ,44.66,44.66,0,The budget variance is less than or equal to 5%,610.13,"This programme joined GMPP in 25/26 and will not remain in GMPP going forward. The Whole Life Costs are calculated through combining the approved capital budgets of the projects that make up this programme. As a capital programme, project budgets are reviewed and controlled at key gateways. ",,"This programme does not report monetised benefits, as per the approved business case. ",,May El Komy,
HS2 PHASE I,DFT,Infrastructure and Construction,"A new high-capacity, high-speed railway connecting London and the West Midlands with onward services to other cities, via the existing West Coast Main Line.",RED,,"The NISTA / SRO Delivery Confidence Assessment (DCA) rating remains at RED at 25/26 Q4. This is primarily due to delivery of HS2 being unachievable against Baseline 7.1 (approved at Notice to Proceed in April 2020), as confirmed through correspondence between the HS2 Ltd Chief Executive Officer (CEO) and the Secretary of State in 2025. In response, the Department and HS2 Ltd have progressed a comprehensive reset programme, alongside strengthened governance and delivery controls.

Key developments include:
•	Continuing the HS2 reset under the leadership of CEO Mark Wild and Chair Mike Brown, with Board capability strengthened through new Non-Executive Director appointments.
•	HS2 Ltd providing assured cost and schedule ranges to the Department, approved by the Ministerial Task Force in January 2026, with further conditions (including the outcome of the Strategic Scope Review) addressed ahead of publication and announcement by the Secretary of State on 19 May 2026.
•	Commencing development of a new delivery baseline (Baseline 8.0/8.1), supported by a staged review process to ensure robust assurance and programme integration.
•	Maintaining tight in-year financial and performance controls through the Performance Management Plan (PMP), contributing to improved construction productivity and delivery within annual budgets.
•	Delivering FY25/26 Phase 1 expenditure and maximising productivity in line with budget (£6.967bn, 0.4% below Supplementary Estimates) and agreeing a £7.1bn funding allocation for FY26/27.
•	Progressing Euston Programme activities, including definition of an integrated Euston Station Spatial Plan and delivery schedule, the stand-up of the Euston Delivery Company in April 2026, continuation of enabling works and exploration of a private finance delivery model for the HS2 station.

Overall, the Department has focused on resetting the programme to establish a credible, deliverable baseline while maintaining cost control, improving productivity, and strengthening governance arrangements.",14/01/2009,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,"As at 25/26 Q4, the previous delivery into service range of 2029–2033 is unachievable, as confirmed through correspondence between the HS2 Ltd CEO and the Secretary of State in 2025. In response, the Department and HS2 Ltd have progressed a comprehensive reset programme.

Key developments include:
•	The Department has tasked the HS2 Ltd CEO with progressing a comprehensive reset to establish realistic cost and schedule estimates for delivering the remaining scope at the lowest reasonable cost. Assured schedule ranges were provided to the Department in December 2025 and approved by the Ministerial Task Force in January 2026, with further conditions (including the outcome of the Strategic Scope review) addressed ahead of publication and announcement by the Secretary of State on 19 May 2026.
•	The reset will deliver updated schedule ranges for key service configurations (Old Oak Common–Birmingham, Euston–Birmingham, and Euston–North West) and inform development of a new schedule baseline (Baseline 8.0/8.1). Baseline development commenced in January 2026 and is subject to a progressive integrated review and assurance process.
•	Whilst the reset is ongoing, the Department continues to manage HS2 Ltd through strengthened in-year controls, including a Performance Management Plan for 2026/27 setting out key milestones, targets and productivity metrics. Enhanced governance and assurance arrangements, aligned to the James Stewart Review, remain in place to support in-year delivery and schedule discipline.","3,489.25","3,489.25",0,The budget variance is less than or equal to 5%.,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,"At 25/26 Q4, the departmentally agreed Whole Life Cost (measured in £m) for HS2 is exempted. The Department does not report on Whole Life Cost as it does not reflect the true up-front cost for building HS2.

Key developments include:
•	The Department has tasked the HS2 Ltd CEO with progressing a comprehensive reset to establish realistic cost and schedule estimates for delivering the remaining scope at the lowest reasonable cost. Assured cost ranges were provided to the Department in December 2025 and approved by the Ministerial Task Force in January 2026, with further conditions set ahead of public announcement, including consideration of the Strategic Scope Review. As the Secretary of State publicly announced on 19 May 2026, the expected cost of delivering HS2 is now in the range of £87.7 – £102.7 billion. This is expressed in a mixed price base, including the cash outturn of works to date and the costs of future work excluding inflation.
•	The HS2 reset is ongoing and work continues to progress on development of a new cost baseline (Baseline 8.0/8.1). Baseline development commenced in January 2026 and is subject to a progressive integrated review and assurance process.
•	Whilst the reset is ongoing, the Department continues to manage HS2 Ltd through strengthened in-year controls, including a Performance Management Plan for 2026/27 and application of financial controls to support affordability and delivery confidence.
•	Funding provided through the Spending Review 2025 settlement supports continued delivery between the West Midlands and London Euston, alongside reset activities. Cost control remains focused on improving productivity, strengthening governance, and embedding lessons learned to ensure the programme can be delivered within future agreed budgets.",The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,"The project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) is exempted.
The HS2 programme tracks progress against its benefits baseline through quarterly benefits reporting (QBR). The current reporting on benefits during design and construction is not monetised but uses natural measures to reflect whether the outcomes are achieved. The HS2 programme is currently being reset, and a reset of the programme’s benefits will form part of that programme of work; alongside this, we will update the HS2 business case. In the interim, HS2 Ltd will continue reporting against the existing benefits baseline.",https://evaluation-registry.cabinetoffice.gov.uk/search/ba119288-a763-47dd-aa35-cd81b0030ca6/,Dean Creamer,DFT_0040_2021-Q1
2ND GENERATION UK SEARCH AND RESCUE AVIATION,DFT,Government Transformation and Service Delivery,"The UKSAR2G programme’s purpose is to procure a national UK aviation search and rescue (SAR) service that continues to save lives, protect UK economic interests and continue to comply with International Conventions beyond the end of the existing UKSAR Helicopter contract in 2024-26.",,GREEN,"Compared to financial year 24/25 Q4, the SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at green. This is primarily due to the programme remaining on track for all air stations to go live under SAR2G by Jan 2027, the project remains within financial approvals and it continues the service continues to undertake Search and Rescue when needed.",16/12/2019,01/01/2027,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 remained the same as last year's published end-date. This is primarily due to the continued forecast for the last air base to have transitioned to SAR2G by Jan 2027.",196.42,186.51,5.04,The budget variance exceeds 5%. (5.04%) This is primarily due to one aircraft that was due to come online in Q4 not being realised until Period 1 of FY 26/27. ,"2,046.47","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) remained at £1,959.436. This is primarily due to the following factors. Even though there has been some increase in inflation figures some costs have been recovered through KPI relief on those parts of the contract that has transitioned. Although some variance in reported figures and held figures is noted this is due to the NISTA deflation of the figures.
","25,465.07","Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at £24,474.990. Although some variance in reported figures and held figures is noted this is due to the NISTA deflation of the figures.",https://evaluation-registry.cabinetoffice.gov.uk/search/734c6985-5f76-4c67-ac16-522776391676/,Mark Bradley,DFT_0048_2021-Q3
EAST WEST RAIL CONNECTION STATE 1,DFT,Infrastructure and Construction,"East West Rail (EWR) is a new railway connecting towns and cities across the Oxford-Cambridge growth corridor. The Government has identified the corridor as a key pillar of its economic growth mission – by delivering new east-west connectivity and removing existing constraints to growth, EWR is projected to support up to 100,000 new homes, tens of thousands of new jobs and it is expected to add £6.7bn to regional GVA each year by 2050.  

The EWR programme is structured around the phased introduction of passenger services from the mid 2020s to the mid-late 2030s. The railway will deliver shorter journey times between key economic centres; provide greener public transport and new paths for rail freight; and provide interchanges with major rail lines, supporting onward travel across the country. It will provide a total of 8 new stations, including at Cambridge East and redevelop existing stations unlocking opportunities for growth/regeneration along the corridor. 

Phase 1 (formerly Connection Stage 1) of the delivery programme relates to services between Oxford and Bletchley / Milton Keynes and is the first phase of the wider EWR programme. Major construction was completed in June 2025 and freight services are now running on this section. The Department continues to work closely with Chiltern Railways and other partners to confirm a start date for the first EWR passenger services between Oxford and Milton Keynes. ","Exempt under Section 43 - Commercial interests, Section 35 - Formulation of government policy","Exempt under Section 43 - Commercial interests, Section 35 - Formulation of government policy","Exempt under Section 43 - Commercial interests, Section 35 - Formulation of government policy",30/11/2011,"Exempt under Section 35 - Formulation of government policy, Section 43 - Commercial interests","Exempt under Section 35 - Formulation of government policy, Section 43 - Commercial interests",13.78,16.53,19.9,The variance is due to delay of the entry into service of passenger services.,"Exempt under Section 43 - Commercial interests, Section 35 - Formulation of government policy","Exempt under Section 35 - Formulation of government policy, Section 43 - Commercial interests","3,847.15",Phase 1 is in final delivery stages. Benefits are being captured via an EWR Company evaluation exercise. Some benefits will not be fully realised without progression of the later phases of EWR through Bedford to Cambridge.  ,,Jodie Lofthouse,DFT_0046_2021-Q2
REDEVELOPMENT EUSTON CONVENTIONAL STATION (RECS),DFT,Infrastructure and Construction,"Euston is one of the UK’s most critical rail transportation hubs. The current station is no longer fit for purpose and operating over capacity, with many station assets reaching the end of their service life. The proposed Redevelopment of Euston Conventional Station (RECS) scheme will update the existing station concourse area to accommodate current and future passenger demand on the West Coast Main Line, improve passenger experience and accessibility, while replacing life expired station assets in a cost-effective manner. 

The RECS project forms an integral part of the Departments wider plans for the Euston Station Campus. The Department is working with key partners to develop affordable, integrated plans for the Euston Station Campus, which will comprise the new High Speed 2 station, an upgraded Network Rail station and enhancements to the London Underground station and local transport facilities along with a significant level of development. The Government is seeking to deliver benefits far beyond a new, improved station, promoting growth both in the Euston area and nationally with thousands of new homes, jobs and opportunities for businesses to thrive.",Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 - Formulation of government policy,13.34,13.34,0,The budget variance is less than or equal to 5%,Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 - Formulation of government policy,Exempt under Section 35 – Formulation of government policy,Dean Creamer,DFT_0139_2223-Q1
EAST COAST DIGITAL PROGRAMME,DFT,Infrastructure and Construction,"The East Coast Digital Programme (ECDP) will implement the European Train Control System (ETCS) on 100 miles of the East Coast Mainline (ECML) between Kings Cross and Stoke Tunnel just south of Grantham, as well as on the Northern City Line (NCL) between Moorgate and Finsbury Park. The ECDP is the UK’s first implementation of ETCS on a mixed-use (freight and passenger trains) UK mainline route and will involve a major change in working practices for the rail industry. ETCS communicates signalling information into the driver’s cab in real-time, constantly updating how far ahead the train is authorised to move and providing optimal speed information. It removes the need for conventional lineside ‘traffic light’ signals, allowing for less-disruptive installation and maintenance. As well as having a lower whole life cost than conventional signals, ETCS on the NCL and the ECML will enhance operational resilience, is safer for passengers and rail workers, and has a 40% reduction in whole-life CO2 emissions through reduced use of materials compared to conventional signalling. ETCS also has the potential to unlock significant passenger and freight benefits through delivering an improvement in system capability of between 10 and 25%.",RED,,"Compared to financial year 24/25-Q4, the National Infrastructure & Service Transformation Authority's Delivery Confidence Assessment rating at 25/26-Q4 is at RED. The NISTA review team noted that the partnership model continues to be the correct approach, and there have been positive changes in programme leadership.
The review team highlighted that there is a need to re-baseline the programme, and that the programme is complex with several risks to delivery. They raised 19 recommendations to address.
Recommendations include in the areas of ETCS freight train retrofitment, clearer accountabilities of leadership, and to continue the early identification of emerging risks to delivery.",01/05/2017,14/10/2030,"Compared to financial year 24/25-Q4, the project's baselined end-date at 25/26-Q4 remained at 14/10/2030. This date will be subject to a rebaseline exercise during 2026.
The ECDP’s schedule has been set up to deliver ETCS on the ECML in a phased migration. The full migration to ETCS operations on the Northern City Line with the removal of conventional signals was achieved as planned in May 2025.
In FY25/26, activities have focused on enabling works for the ETCS section on the ECML between Welwyn to Hitchin to provide a driver training area, due to enter into service August 2026. Works have included vehicle fitment, on-track testing and systems assurance. This milestone forecast has moved from December 2025 to August 2026, due to encountering challenges around system testing and assurance that will provide lessons for future ETCS schemes.
The first mainline route section, originally due April 2027, is subject to change control as part of the rebaseline exercise.",231.12,194.42,15.88,"The budget variance exceeds 5%. This underspend is due to delays in contract awards and ETCS vehicle retrofitments, and less money has been spent on works for the renewals portion of ECDP (ie beyond Welwyn to Hitchin).","3,030.39","Compared to financial year 24/25-Q4, the programme's Whole Life Cost at 25/26-Q4 increased from £3,465m to £3,764m (in Nominal Prices).
The programme anticipates that inflation will materialise as a key issue in the later years of the programme. As we move into the 2026-27 reporting cycle, the key risk to maintaining overall programme cost will be the cost of vehicle fitment and ETCS trackside infrastructure on the ECML. The programme is actively looking at how these costs can be managed whilst protecting the programme’s benefits. While delivery continues, ECDP is also maturing its delivery model to ensure it remains the enabler for future ETCS schemes.","1,430.67","Compared to financial year 24/25-Q4, the project's departmentally agreed benefits at 25/26 Q4 remained at £2,783m (In Nominal £ Benefits). Benefits will be subject to a refresh during 2026. The benefits figure includes quantified performance, safety, socio-economic, environmental and wider economic monetised benefits.",https://evaluation-registry.cabinetoffice.gov.uk/search/783d3841-ca20-4f57-988c-7be0ad7ae66e/,Cavendish Elithorn,DFT_0038_1920-Q4
EAST COAST MAINLINE PROGRAMME,DFT,Infrastructure and Construction,A collection of track and power upgrade schemes between London King's Cross and Edinburgh to increase capacity and to enable the introduction of the Azuma fleet and a recast route timetable.,,RED,"The route's recast timetable - required to deliver the benefits of the programme - was introduced successfully in December 2025. This was not able to accommodate all of the services envisaged in the programme's business case in 2018, and so work is now underway to re-baseline the benefits of the investment.",01/04/2014,03/05/2027,"The infrastructure enhancements required to enable introduction of the recast timetable were completed successfully to schedule. Remaining works are for resilience purposes only, and scheduled for completion in May 2027.",,21.68,,The budget variance is less than or equal to 5%.,"1,276.49","Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 increased from £1114m to £1122m. This is primarily due to increased costs associated with remaining power supply upgrade works on the route.","2,028.11","Following introduction of the route's recast timetable, work is now underway to reappraise the benefits of the programme, which will be recorded once this work is complete.",,Rosemary Hopkins,DFT_0033_1819-Q1
LOWER THAMES CROSSING,DFT,Infrastructure and Construction,"The Lower Thames Crossing (LTC) is a proposed new road connecting Kent, Thurrock and Essex through twin-bored tunnels under the River Thames. It will almost double the road capacity across the River Thames east of London and is the largest single road investment project in the UK since the M25 was completed more than 30 years ago. As a vital part of the UK’s transport infrastructure, it will act as a catalyst for national and local economic growth. Building a reliable, modern new road that is fit for the future will help connect the nation's busiest ports to the distribution hubs in the North, Midlands and beyond. It will improve network resilience and the performance of the existing crossings at Dartford, transforming the regional and national road network. The LTC will open up new markets for businesses and create tens of thousands of new jobs and hundreds of apprenticeships during its construction. 

At Autumn Budget 2025 it was confirmed that the Government's preferred financing option at this stage of the project is the Regulated Asset Base (RAB) model which will allow for a regulated private entity to finance, build, operate, and maintain the asset under long-term oversight by an independent regulator. Under the RAB model, operations of the Dartford Crossing would transfer to a new regulated private sector entity, which would be responsible for operating and maintaining both the Dartford Crossing and the new LTC. The project therefore now incorporates the work required to create the legislative, regulatory and commercial framework for the RAB model.
",AMBER,,"Compared to financial year 24/25 Q4, the SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 improved from Amber to Green. This is primarily due to the following factors‚ The LTC project secured additional public funding with £1.66bn in the Third Road Investment Strategy for the years 2026/27 and 2028/29 which includes the £891m announced at Autumn Budget 2025 and funding previously committed for those years. The Government also confirmed in 25/26 that the preferred finance model at this stage of the project is the Regulated Asset Base (RAB) model. This strengthens confidence in delivery and steps are being taken to prepare for a transaction with the private sector. The NISTA DCA rating for 25/26 Q4 is Amber, whilst we recognise that there are still risks to delivery, the SRO is content that sufficient mitigations were in place as of March-26 and therefore rated the DCA as Green. The project DCA is reviewed monthly. 

The Outline Business Case was updated and approved by the DfT Investment Committee in October 2025. This marks the transition from full public sector funding to a future private sector RAB model, with the private sector to deliver the remainder of the scheme and take on Dartford Crossing operations in 2028. The DfT team working on the project has expanded to reflect the new work required on legislation and regulation, and the SRO role during 25/26 moved from National Highways to DfT to reflect this broader scope.
",30/05/2014,31/07/2035,The project was granted Development Consent on 25 March 2025. The project was re-baselined in October 2025 to inform Autumn Budget 2025 decision making where the Regulated Asset Base (RAB) model was selected as the preferred financing model. An Accounting Officer Assessment was undertaken to support this decision. The project remains on course to deliver as set out at Autumn Budget. We expect the existing Dartford Crossing and LTC project to move from public to private ownership in 2028. The main tunnelling phase for the LTC is expected to begin in 2028 and the target date for the road to be open for traffic is the early to mid-2030’s . ,338.05,338.05,0,The budget variance is less than or equal to 5%.,"9,899.54","Compared to financial year 24/25-Q4, the projects departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) increased from £8950,220m to £10629,020m. This is primarily due to schedule delay, the first delay was due to affordability and planning consent delays as set out in the Written Ministerial Statement issued 9 March 2023 which re-phased construction by 2 Years. A further delay to the DCO decision was announced by the Secretary of State in October 2024 extended the decision deadline to May 2025. The cost increase incorporates the prolongation and inflationary impacts following these two schedule delays which required the project to re-baseline.

It should be noted that it is the intention to split the Whole Life Cost between both Public and Private finance under the Regulated Asset Base model. The transition to private finance is currently expected to occur in 2028. 

To note: the figures in the Annual Assessment may differ to those in this narrative due to NISTA deflating costs forecast for later years.","1,816.27","The current approved benefits at 25/26-Q4 remained at £3,009m. This figure is based on the project being fully publicly funded and is now outdated due to the approval to move to a Regulated Asset Base (RAB) model. The VfM analysis will continue to develop as detail on policy assumptions evolves, alongside any updates to our appraisal approach. For example, the department has made the decision to take forward LTC on the basis of the Regulated Asset Base model (RAB) and has published its intention to adopt new, higher values of time for freight movements. 

The strategic case for the LTC project remains strong. As well as the connectivity and congestion relieving benefits delivered by the new crossing, which leads to major economic benefits, this is also based around the escalating need for maintenance of the Dartford Crossing. The Dartford Crossing is already operating significantly over capacity and suffers from poor reliability.  As with any major project, there are significant risks to be managed in order to realise the project’s benefits. We will continue to work with NISTA and apply lessons from the James Stewart review of High Speed 2 to help minimise those risks. Further work will be completed in the next stages of the programme up to FBC at which point the accounting officer assessment will be refreshed.

As the benefits are expected to be felt for several decades, the figures in the Annual Assessment may differ to those in this narrative due to NISTA deflating benefits post 2050.",,Kate Cohen,DFT_0022_1415-Q4
NORTHERN POWERHOUSE RAIL,DFT,Infrastructure and Construction,"Northern Powerhouse Rail (NPR) is the Government's long-term programme to further improve connectivity in the North of England as a fundamental part of the government's Northern Growth Strategy. Northern Powerhouse Rail aims to create a frequent and reliable turn-up-and-go railway service across the Northern Growth Corridor (including Liverpool, Manchester, Bradford, Leeds, Sheffield and York) with regular services continuing to Newcastle, Hull and Chester.",AMBER,,"Compared to the financial year 24/25 Q4, the NISTA Delivery Confidence Assessment rating at 25/26 Q4 has improved from Red to Amber. This improvement is primary a result of NPR receiving an agreed funding commitment in January 2026 of up to £45bn in 2025 prices, along with decisions on the single biggest scope choice in terms of the approach between Manchester and Liverpool and use of the Crewe-Manchester hybrid Bill.",01/02/2016,31/12/2051,"Compared to the financial year 24/25 Q4 the NPR project end date has increased from December 2045 to December 2051. This reflects updates to the scope of the programme which had not been updated since the previous government's Network North Command Paper, and takes into account the planning which is forming the Programme Business Case.",200.84,60.67,69.79,"The budget variance for NPR for FY 25/26 has exceeded 5% which is a result of the following factors:

The uncertainty around scope of the programme and direction of the hybrid Bill until January 2026 caused a number of previously planned activities to be either deferred into future financial years or removed from the scope of the programme; resulting in a reduction of spend from the previous programme baseline. The NPR Programme will formally rebaseline its cost profile following the completion of the Programme Business Case.","45,000.00",Compared to Financial Year 24/25-Q4 the programme's agreed whole life costs at Q4 25-26 (measured in £bn) has increased from 30.60 in 2019 prices to 45.00 in 2025 prices. This update reflects the agreed government upper limit funding profile which was announced as part of the Northern Powerhouse Rail announcement within the wider Northern Growth Strategy in January 2026. A refined cost profile for the programme will be developed following the completion of the Programme Business Case.,"11,629.06","Compared to financial year 24/25-Q4, the programme's departmentally agreed Benefits at 25/26-Q4 (measured in £m in 2010/11 prices) remained at 8007.

NPR benefits continue to remain unchanged pending an update as part of the Programme Business Case due later in the year. An updated benefits profile will be produced following the publication of the Programme Business Case",,Nick Bisson ,DFT_0141_2223-Q1
A428 BLACK CAT TO CAXTON GIBBET,DFT,Infrastructure and Construction,The scheme provides a new off-line two lane dual carriageway between Black Cat roundabout on the A1 in Bedfordshire and Caxton Gibbet roundabout on the A428 in Cambridgeshire.,,GREEN,"The SRO Delivery Confidence Assessment (DCA) rating remained Green in Q4 25/26, consistent with the position reported in Q4 24/25. The A428 Black Cat to Caxton Gibbet scheme passed the halfway point of its construction phase at the start of Q3 25/26 and continues to perform in line with agreed delivery commitments.
Construction activity is progressing well across all key locations, including the Black Cat junction upgrade and the opening of new local junctions and route improvements. There have been no changes to the approved cost or benefits forecasts, and the scheme remains on track to deliver within the agreed funding envelope.",01/04/2015,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,242,232.37,3.98,The budget variance is less than or equal to 5%.,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,https://evaluation-registry.cabinetoffice.gov.uk/search/1ac3e7ff-641d-4f2d-89ed-44de6315933d/,Philip Davie,DFT_0031_1819-Q1
Rail Reform: Stand-Up of GBR,DFT,Government Transformation and Service Delivery,"The programme will enable the biggest overhaul of the rail sector in a generation. It will enable the establishment of GBR as a new ‘directing mind’ for the railway, unifying track and train under a single public body to deliver better services for passengers and freight customers, and better value for money for taxpayers.   

GBR will have the tools and operational independence it needs to plan and run the rail system on a long-term basis to deliver for passengers. GBR will make long term capacity allocation, planning and investment decisions to give greater certainty to rail freight operators, open access, and the wider supply chain.   

The legislation will establish a powerful new passenger watchdog to champion improvements in rail services for passengers. It will protect and advocate for passengers’ interests and rights, offer advice, address unresolved passenger complaints and independently monitor service performance reporting on its findings publicly and transparently. 
",RED,,"The Railways Bill will pave the way for the creation of Great British Railways (GBR), due to be set up later in 2027. The transfer of passenger services to public ownership – a key element of the reform programme – continues at pace, with Govia Thameslink Railway’s (GTR) services the most recent to switch in May this year.  

The Bill is a key dependency and is currently in Parliament, therefore, it is not possible to predict, the exact scheduling and level of amendments it may still face as part of Lords and Commons scrutiny.   

Combining these uncertain timescales with the complexity and challenges of key elements of what is the biggest transformation of the railways in a generation, means that the NISTA/SRO Delivery Confidence Assessment (DCA) rating remains RED as of the last two quarters (Q3/Q4) of 2025/26. This rating transparently reflects the level of uncertainty and dependencies and mitigates against optimism bias. However, significant progress continues to be made on all aspects of the reform programme and as a result we expect the delivery confidence to improve.  

Most notably, work continues on a number of critical design and implementation decisions, alongside government approvals, which are required to deliver the reforms set out in the Bill and GBR itself. These decisions, when made, combined with Parliamentary progress are expected to provide greater clarity and stability across the programme. 
",01/07/2024,"Exempt under Section 22 - Information intended for future publication, The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information",The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,,Richard Goodman,DFT_0413_2425-Q2
PUBLIC OWNERSHIP TRANSITION PROGRAMME,DFT,Government Transformation and Service Delivery,"The Programme will transfer the remaining privately operated passenger rail contracts, for which the Secretary of State is responsible, into public ownership. These will be transferred to DfT Operator Limited (DFTO) whose functions will eventually be integrated into Great British Railways (GBR). The aim is to complete all transfers into public ownership by the end of 2027. Richard Goodman served as interim SRO from 24 December 2025 to 31 March 2026 during the programme’s transfer from DfT to DFTO. Alex Hynes assumed SRO responsibilities from 1 April 2026.",AMBER,,"Compared to financial year 2024/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating for 2025/26 Q4 has remained at Amber. Good progress continues to be made with South Western Railway, c2c, Greater Anglia and West Midlands Trains successfully transferred into public ownership. Work is progressing well on the Govia Thameslink Railway transfer scheduled for 31 May 2026, with further transfers scheduled (including Chiltern Railways on 20 September 2026 and Great Western Railway on 13  December 2026). This indicates that the Programme has a good chance of successful completion, although larger, more complex transfers remain. ",04/12/2024,31/12/2027,"The programme is progressing on time and as planned; the services of South Western Railway, c2c, Greater Anglia and West Midlands have successfully transferred into public ownership. The SoS has also issued expiry notices confirming the planned transfer of Govia Thameslink Railway (GTR) services on 31 May 2026, Chiltern services on 20 September 2026 and Great Western Railway services on 13 December 2026. Work on the GTR transfer is well advanced with work on Chiltern now progressing to plan. Decisions regarding the timing of the final three transfers will be made by the SoS later with the full programme of transitions into public ownership expected to be completed by the end of 2027. Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 remains the same.  There is a risk that a Train Operating Company may default, which could necessitate unplanned transfers and exacerbate capacity and capability pressures across the department and DFTO. While the likelihood of default is considered low and the risk is regarded as manageable, the programme continues to plan for this. The transfer of DFT Rail Services Group staff to DFTO took place at the end of March 2026. ",9.77,10.73,9.81,"The budget variance exceeds 5% due to the delivery of the scheduled volume of work for the 2025/26 financial year, in order to meet the programme’s public commitments and ensure the transfers are delivered safely and effectively.",36.6,"Compared to Q4 of the 2024/25 financial year, the project’s departmentally agreed Whole Life Cost at Q4 of 2025/26 (measured in £m) has remained the same.",110,"Under public ownership, passenger services will be operated in the interests of passengers rather than shareholders. This represents a vital step towards wider reform, bringing track and train together under Great British Railways (GBR).   
Public ownership will save taxpayers up to an estimated £110-150 million every year on fees paid to privately-owned train operating companies, once all services currently delivered under contract with the Department have transferred.  
The Government is taking the railways into public ownership at the lowest reasonable cost to the taxpayer, enabling long-overdue improvements to make everyday journeys easier. 
Each transfer will involve some mobilisation and due diligence costs. These costs are expected to be a small fraction of the £110-150m per year in fees to private operators that will no longer have to be funded by the taxpayer once all franchised services are back in public ownership.    ",,Alex Hynes,DFT_0439_2425-Q3
