project_name,task_id,task_name,priority,priority_score,decision_question,what_changed,forecast_if_no_action,why_now,recommended_action,owner_role,decision_by,evidence,confidence,next_evidence,human_gate
Alpha,tsk-030,Task 030,P1,56.0,Task 030: is the evidence strong enough to commit to a recovery date?,Slippage held at 128 days in the latest update.,Next reported position: about 128 days late.,The selected model expects 128 days of slippage. Its rolling-test MAE is 11.0 days.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 11.0 days; next update is stable,0.569,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
Alpha,tsk-021,Task 021,P1,56.0,Task 021: is the evidence strong enough to commit to a recovery date?,Slippage held at 103 days in the latest update.,Next reported position: about 103 days late.,The selected model expects 103 days of slippage. Its rolling-test MAE is 14.2 days.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 14.2 days; next update is stable,0.504,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
Alpha,tsk-005,Task 005,P1,56.0,Task 005: is the evidence strong enough to commit to a recovery date?,Slippage held at 119 days in the latest update.,Next reported position: about 119 days late.,The selected model expects 119 days of slippage. Its rolling-test MAE is 17.8 days.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 17.8 days; next update is stable,0.446,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
Alpha,tsk-059,Task 059,P1,56.0,Task 059: is the evidence strong enough to commit to a recovery date?,Slippage held at 152 days in the latest update.,Next reported position: about 152 days late.,The selected model expects 152 days of slippage. Its rolling-test MAE is 19.2 days.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 19.2 days; next update is stable,0.428,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
Alpha,tsk-006,Task 006,P2,54.0,Task 006: do we recover this date or formally reforecast it?,Slippage worsened by 4 days in the latest update to 60 days.,Next reported position: about 60 days late.,The selected model expects 60 days of slippage. Its rolling-test MAE is 0.8 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.8 days; next update is stable,0.911,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-014,Task 014,P2,48.4,Task 014: which owned intervention will protect the critical path?,Slippage held at 38 days in the latest update.,Next reported position: about 38 days late.,The selected model expects 38 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-015,Task 015,P2,48.0,Task 015: do we recover this date or formally reforecast it?,Slippage held at 88 days in the latest update.,Next reported position: about 88 days late.,The selected model expects 88 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-022,Task 022,P2,48.0,Task 022: do we recover this date or formally reforecast it?,Slippage held at 98 days in the latest update.,Next reported position: about 98 days late.,The selected model expects 98 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-026,Task 026,P2,48.0,Task 026: do we recover this date or formally reforecast it?,Slippage held at 60 days in the latest update.,Next reported position: about 60 days late.,The selected model expects 60 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-075,Task 075,P2,48.0,Task 075: do we recover this date or formally reforecast it?,Slippage held at 71 days in the latest update.,Next reported position: about 71 days late.,The selected model expects 71 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-056,Task 056,P2,48.0,Task 056: do we recover this date or formally reforecast it?,Slippage held at 83 days in the latest update.,Next reported position: about 83 days late.,The selected model expects 83 days of slippage. Its rolling-test MAE is 0.8 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.8 days; next update is stable,0.911,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-063,Task 063,P2,48.0,Task 063: do we recover this date or formally reforecast it?,Slippage held at 60 days in the latest update.,Next reported position: about 60 days late.,The selected model expects 60 days of slippage. Its rolling-test MAE is 1.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 1.0 days; next update is stable,0.902,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-049,Task 049,P2,47.6,Task 049: which owned intervention will protect the critical path?,Slippage held at 37 days in the latest update.,Next reported position: about 37 days late.,The selected model expects 37 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-023,Task 023,P2,46.4,Task 023: do we recover this date or formally reforecast it?,Slippage held at 58 days in the latest update.,Next reported position: about 58 days late.,The selected model expects 58 days of slippage. Its rolling-test MAE is 0.2 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.2 days; next update is stable,0.94,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-070,Task 070,P2,44.8,Task 070: do we recover this date or formally reforecast it?,Slippage held at 56 days in the latest update.,Next reported position: about 56 days late.,The selected model expects 56 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-013,Task 013,P2,44.8,Task 013: do we recover this date or formally reforecast it?,Slippage held at 56 days in the latest update.,Next reported position: about 56 days late.,The selected model expects 56 days of slippage. Its rolling-test MAE is 1.4 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 1.4 days; next update is stable,0.883,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-051,Task 051,P2,44.0,Task 051: do we recover this date or formally reforecast it?,Slippage held at 55 days in the latest update.,Next reported position: about 55 days late.,The selected model expects 55 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-048,Task 048,P2,43.6,Task 048: which owned intervention will protect the critical path?,Slippage held at 32 days in the latest update.,Next reported position: about 32 days late.,The selected model expects 32 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-032,Task 032,P2,42.4,Task 032: do we recover this date or formally reforecast it?,Slippage held at 53 days in the latest update.,Next reported position: about 53 days late.,The selected model expects 53 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-016,Task 016,P2,41.6,Task 016: do we recover this date or formally reforecast it?,Slippage held at 52 days in the latest update.,Next reported position: about 52 days late.,The selected model expects 52 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-033,Task 033,P2,40.4,Task 033: which owned intervention will protect the critical path?,Slippage held at 28 days in the latest update.,Next reported position: about 28 days late.,The selected model expects 28 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-011,Task 011,P2,37.6,Task 011: do we recover this date or formally reforecast it?,Slippage held at 47 days in the latest update.,Next reported position: about 47 days late.,The selected model expects 47 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-001,Task 001,P2,37.2,Task 001: which owned intervention will protect the critical path?,Slippage held at 24 days in the latest update.,Next reported position: about 24 days late.,The selected model expects 24 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-052,Task 052,P2,36.9,Task 052: do we recover this date or formally reforecast it?,Slippage worsened by 7 days in the latest update to 33 days.,Next reported position: about 33 days late.,The selected model expects 33 days of slippage. Its rolling-test MAE is 1.4 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 1.4 days; next update is stable,0.883,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-074,Task 074,P2,36.8,Task 074: do we recover this date or formally reforecast it?,Slippage held at 46 days in the latest update.,Next reported position: about 46 days late.,The selected model expects 46 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-009,Task 009,P2,36.0,Task 009: do we recover this date or formally reforecast it?,Slippage held at 45 days in the latest update.,Next reported position: about 45 days late.,The selected model expects 45 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-044,Task 044,P2,34.4,Task 044: do we recover this date or formally reforecast it?,Slippage held at 43 days in the latest update.,Next reported position: about 43 days late.,The selected model expects 43 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-034,Task 034,P2,33.6,Task 034: do we recover this date or formally reforecast it?,Slippage held at 42 days in the latest update.,Next reported position: about 42 days late.,The selected model expects 42 days of slippage. Its rolling-test MAE is 1.2 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 1.2 days; next update is stable,0.892,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-031,Task 031,P2,32.8,Task 031: do we recover this date or formally reforecast it?,Slippage held at 41 days in the latest update.,Next reported position: about 41 days late.,The selected model expects 41 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-068,Task 068,P2,32.0,Task 068: do we recover this date or formally reforecast it?,Slippage held at 40 days in the latest update.,Next reported position: about 40 days late.,The selected model expects 40 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-018,Task 018,P2,30.4,Task 018: do we recover this date or formally reforecast it?,Slippage held at 38 days in the latest update.,Next reported position: about 38 days late.,The selected model expects 38 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-012,Task 012,P2,29.6,Task 012: do we recover this date or formally reforecast it?,Slippage held at 37 days in the latest update.,Next reported position: about 37 days late.,The selected model expects 37 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-024,Task 024,P2,29.6,Task 024: do we recover this date or formally reforecast it?,Slippage held at 37 days in the latest update.,Next reported position: about 37 days late.,The selected model expects 37 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-027,Task 027,P2,29.2,Task 027: which owned intervention will protect the critical path?,Slippage held at 14 days in the latest update.,Next reported position: about 14 days late.,The selected model expects 14 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-072,Task 072,P2,28.8,Task 072: do we recover this date or formally reforecast it?,Slippage held at 36 days in the latest update.,Next reported position: about 36 days late.,The selected model expects 36 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-035,Task 035,P2,26.4,Task 035: do we recover this date or formally reforecast it?,Slippage held at 33 days in the latest update.,Next reported position: about 33 days late.,The selected model expects 33 days of slippage. Its rolling-test MAE is 1.8 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 1.8 days; next update is stable,0.866,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-066,Task 066,P2,25.6,Task 066: do we recover this date or formally reforecast it?,Slippage held at 32 days in the latest update.,Next reported position: about 32 days late.,The selected model expects 32 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-037,Task 037,P3,24.8,Task 037: do we recover this date or formally reforecast it?,Slippage held at 31 days in the latest update.,Next reported position: about 31 days late.,The selected model expects 31 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-019,Task 019,P3,23.2,Task 019: do we recover this date or formally reforecast it?,Slippage held at 29 days in the latest update.,Next reported position: about 29 days late.,The selected model expects 29 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-064,Task 064,P3,20.0,Task 064: do we recover this date or formally reforecast it?,Slippage held at 25 days in the latest update.,Next reported position: about 25 days late.,The selected model expects 25 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-054,Task 054,P3,19.2,Task 054: do we recover this date or formally reforecast it?,Slippage held at 24 days in the latest update.,Next reported position: about 24 days late.,The selected model expects 24 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-017,Task 017,P3,18.4,Task 017: do we recover this date or formally reforecast it?,Slippage held at 23 days in the latest update.,Next reported position: about 23 days late.,The selected model expects 23 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-053,Task 053,P3,18.4,Task 053: do we recover this date or formally reforecast it?,Slippage held at 23 days in the latest update.,Next reported position: about 23 days late.,The selected model expects 23 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-004,Task 004,P3,18.0,Task 004: can this remain on watch without director intervention?,Slippage held at -4 days in the latest update.,Next reported position: about -4 days late.,The selected model expects -4 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-040,Task 040,P3,18.0,Task 040: can this remain on watch without director intervention?,Slippage held at -4 days in the latest update.,Next reported position: about -4 days late.,The selected model expects -4 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-071,Task 071,P3,16.8,Task 071: do we recover this date or formally reforecast it?,Slippage held at 21 days in the latest update.,Next reported position: about 21 days late.,The selected model expects 21 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-050,Task 050,P3,16.8,Task 050: do we recover this date or formally reforecast it?,Slippage held at 21 days in the latest update.,Next reported position: about 21 days late.,The selected model expects 21 days of slippage. Its rolling-test MAE is 0.2 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.2 days; next update is stable,0.94,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-008,Task 008,P3,14.4,Task 008: do we recover this date or formally reforecast it?,Slippage held at 18 days in the latest update.,Next reported position: about 18 days late.,The selected model expects 18 days of slippage. Its rolling-test MAE is 0.0 days.,Choose between an owned recovery action and a controlled reforecast at the next control gate.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Recovery logic with dates, resource commitment and affected successor activities.",Human approval required
Alpha,tsk-042,Task 042,P3,10.4,Task 042: can this remain on watch without director intervention?,Slippage held at 13 days in the latest update.,Next reported position: about 13 days late.,The selected model expects 13 days of slippage. Its rolling-test MAE is 0.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,Next accepted schedule update and confirmation of the current constraint.,Human approval required
Alpha,tsk-067,Task 067,P3,10.0,Task 067: can this remain on watch without director intervention?,Slippage worsened by 4 days in the latest update to 5 days.,Next reported position: about 5 days late.,The selected model expects 5 days of slippage. Its rolling-test MAE is 1.0 days.,Keep under exception review and confirm that the next update does not introduce new movement.,Planning lead,At the next exception review,Update_014 to Update_015; 5 rolling tests; typical error 1.0 days; next update is stable,0.902,Next accepted schedule update and confirmation of the current constraint.,Human approval required
